city,zip,state
Aach,78267,Baden-Württemberg
Aach,54298,Rheinland-Pfalz
Aachen,52062,Nordrhein-Westfalen
Aachen,52064,Nordrhein-Westfalen
Aachen,52066,Nordrhein-Westfalen
Aachen,52068,Nordrhein-Westfalen
Aachen,52070,Nordrhein-Westfalen
Aachen,52072,Nordrhein-Westfalen
Aachen,52074,Nordrhein-Westfalen
Aachen,52076,Nordrhein-Westfalen
Aachen,52078,Nordrhein-Westfalen
Aachen,52080,Nordrhein-Westfalen
Aalen,73430,Baden-Württemberg
Aalen,73431,Baden-Württemberg
Aalen,73432,Baden-Württemberg
Aalen,73433,Baden-Württemberg
Aalen,73434,Baden-Württemberg
Aarbergen,65326,Hessen
Aasbüttel,25560,Schleswig-Holstein
Abenberg,91183,Bayern
Abensberg,93326,Bayern
Abentheuer,55767,Rheinland-Pfalz
Absberg,91720,Bayern
Abstatt,74232,Baden-Württemberg
Abtsbessingen,99713,Thüringen
Abtsgmünd,73453,Baden-Württemberg
Abtsteinach,69518,Hessen
Abtswind,97355,Bayern
Abtweiler,55568,Rheinland-Pfalz
Achberg,88147,Baden-Württemberg
Achern,77855,Baden-Württemberg
Achim,28832,Niedersachsen
Achslach,94250,Bayern
Achstetten,88480,Baden-Württemberg
Acht,56729,Rheinland-Pfalz
Achtelsbach,55767,Rheinland-Pfalz
Achterwehr,24239,Schleswig-Holstein
Achtrup,25917,Schleswig-Holstein
Adelberg,73099,Baden-Württemberg
Adelebsen,37139,Niedersachsen
Adelheidsdorf,29352,Niedersachsen
Adelmannsfelden,73486,Baden-Württemberg
Adelschlag,85111,Bayern
Adelsdorf,91325,Bayern
Adelsheim,74740,Baden-Württemberg
Adelshofen,91587,Bayern
Adelshofen,82276,Bayern
Adelsried,86477,Bayern
Adelzhausen,86559,Bayern
Adenau,53518,Rheinland-Pfalz
Adenbach,67742,Rheinland-Pfalz
Adenbüttel,38528,Niedersachsen
Adendorf,21365,Niedersachsen
Adlkofen,84166,Bayern
Admannshagen-Bargeshagen,18211,Mecklenburg-Vorpommern
Adorf/Vogtland,08626,Sachsen
Aebtissinwisch,25572,Schleswig-Holstein
Aerzen,31855,Niedersachsen
Affalterbach,71563,Baden-Württemberg
Affing,86444,Bayern
Affinghausen,27257,Niedersachsen
Affler,54689,Rheinland-Pfalz
Agathenburg,21684,Niedersachsen
Agethorst,25560,Schleswig-Holstein
Aglasterhausen,74858,Baden-Württemberg
Aham,84168,Bayern
Ahaus,48683,Nordrhein-Westfalen
Ahausen,27367,Niedersachsen
Ahlbeck,17375,Mecklenburg-Vorpommern
Ahlden,29693,Niedersachsen
Ahlefeld-Bistensee,24358,Schleswig-Holstein
Ahlen,59227,Nordrhein-Westfalen
Ahlen,59229,Nordrhein-Westfalen
Ahlerstedt,21702,Niedersachsen
Ahlsdorf,06313,Sachsen-Anhalt
Ahlstädt,98553,Thüringen
Ahnatal,34292,Hessen
Ahneby,24996,Schleswig-Holstein
Ahnsbeck,29353,Niedersachsen
Ahnsen,31708,Niedersachsen
Aholfing,94345,Bayern
Aholming,94527,Bayern
Ahorn,74744,Baden-Württemberg
Ahorn,96482,Bayern
Ahorntal,95491,Bayern
Ahrbrück,53506,Rheinland-Pfalz
Ahrensbök,23623,Schleswig-Holstein
Ahrensburg,22926,Schleswig-Holstein
Ahrensfelde,16356,Brandenburg
Ahrenshagen-Daskow,18320,Mecklenburg-Vorpommern
Ahrenshöft,25853,Schleswig-Holstein
Ahrenshoop,18347,Mecklenburg-Vorpommern
Ahrenviöl,25885,Schleswig-Holstein
Ahrenviölfeld,24896,Schleswig-Holstein
Ahrenviölfeld,25885,Schleswig-Holstein
Aichach,86551,Bayern
Aicha vorm Wald,94529,Bayern
Aichelberg,73101,Baden-Württemberg
Aichen,86479,Bayern
Aichhalden,78733,Baden-Württemberg
Aichstetten,88317,Baden-Württemberg
Aichtal,72631,Baden-Württemberg
Aichwald,73773,Baden-Württemberg
Aidenbach,94501,Bayern
Aidhausen,97491,Bayern
Aidlingen,71134,Baden-Württemberg
Aiglsbach,84089,Bayern
Ailertchen,56459,Rheinland-Pfalz
Aindling,86447,Bayern
Ainring,83404,Bayern
Aislingen,89344,Bayern
Aiterhofen,94330,Bayern
Aitern,79677,Baden-Württemberg
Aitrach,88319,Baden-Württemberg
Aitrang,87648,Bayern
Aken (Elbe),06385,Sachsen-Anhalt
Aken (Elbe),06386,Sachsen-Anhalt
Aland,39615,Sachsen-Anhalt
Albaching,83544,Bayern
Albbruck,79774,Baden-Württemberg
Albersdorf,25767,Schleswig-Holstein
Albersdorf,07646,Thüringen
Albershausen,73095,Baden-Württemberg
Albersweiler,76857,Rheinland-Pfalz
Albertshofen,97320,Bayern
Albessen,66871,Rheinland-Pfalz
Albig,55234,Rheinland-Pfalz
Albisheim (Pfrimm),67308,Rheinland-Pfalz
Albsfelde,23909,Schleswig-Holstein
Albstadt,72458,Baden-Württemberg
Albstadt,72459,Baden-Württemberg
Albstadt,72461,Baden-Württemberg
Aldenhoven,52457,Nordrhein-Westfalen
Aldersbach,94501,Bayern
Aldingen,78554,Baden-Württemberg
Alerheim,86733,Bayern
Alesheim,91793,Bayern
Aletshausen,86480,Bayern
Alf,56859,Rheinland-Pfalz
Alfdorf,73553,Baden-Württemberg
Alfdorf,73655,Baden-Württemberg
Alfeld,91236,Bayern
Alfeld (Leine),31061,Niedersachsen
Alfhausen,49594,Niedersachsen
Alflen,56828,Rheinland-Pfalz
Alfstedt,27432,Niedersachsen
Alfter,53347,Nordrhein-Westfalen
Algermissen,31191,Niedersachsen
Alheim,36211,Hessen
Alken,56332,Rheinland-Pfalz
Alkersleben,99310,Thüringen
Alkersum,25938,Schleswig-Holstein
Allenbach,55758,Rheinland-Pfalz
Allendorf,35108,Hessen
Allendorf,56370,Rheinland-Pfalz
Allendorf,07426,Thüringen
Allendorf (Lumda),35469,Hessen
Allenfeld,55595,Rheinland-Pfalz
Allensbach,78476,Baden-Württemberg
Allersberg,90584,Bayern
Allershausen,85391,Bayern
Alleshausen,88422,Baden-Württemberg
Alling,82239,Bayern
Allmannshofen,86695,Bayern
Allmannsweiler,88348,Baden-Württemberg
Allmendingen,89604,Baden-Württemberg
Allmersbach im Tal,71573,Baden-Württemberg
Allstedt,06542,Sachsen-Anhalt
Almdorf,25821,Schleswig-Holstein
Almersbach,57610,Rheinland-Pfalz
Alpen,46519,Nordrhein-Westfalen
Alpenrod,57642,Rheinland-Pfalz
Alpenrod,57647,Rheinland-Pfalz
Alperstedt,99195,Thüringen
Alpirsbach,72275,Baden-Württemberg
Alsbach,56237,Rheinland-Pfalz
Alsbach-Hähnlein,64665,Hessen
Alsdorf,52477,Nordrhein-Westfalen
Alsdorf,57518,Rheinland-Pfalz
Alsdorf,54668,Rheinland-Pfalz
Alsenz,67821,Rheinland-Pfalz
Alsfeld,36304,Hessen
Alsheim,67577,Rheinland-Pfalz
Alsleben,06425,Sachsen-Anhalt
Altbach,73776,Baden-Württemberg
Alt Bennebek,24848,Schleswig-Holstein
Alt Bukow,18233,Mecklenburg-Vorpommern
Altdöbern,03229,Brandenburg
Altdorf,84032,Bayern
Altdorf,71155,Baden-Württemberg
Altdorf,72655,Baden-Württemberg
Altdorf,67482,Rheinland-Pfalz
Altdorf bei Nürnberg,90518,Bayern
Alt Duvenstedt,24782,Schleswig-Holstein
Alt Duvenstedt,24791,Schleswig-Holstein
Alt Duvenstedt,24811,Schleswig-Holstein
Altefähr,18573,Mecklenburg-Vorpommern
Alteglofsheim,93087,Bayern
Altena,58762,Nordrhein-Westfalen
Altenahr,53505,Rheinland-Pfalz
Altenbamberg,55585,Rheinland-Pfalz
Altenbeken,33184,Nordrhein-Westfalen
Altenberg,01773,Sachsen
Altenberg,01778,Sachsen
Altenberga,07768,Thüringen
Altenberge,48341,Nordrhein-Westfalen
Altenbeuthen,07338,Thüringen
Altenbuch,97901,Bayern
Altenburg,04600,Thüringen
Altendiez,65624,Rheinland-Pfalz
Altendorf,92540,Bayern
Altendorf,96146,Bayern
Altenglan,66885,Rheinland-Pfalz
Altenhagen,17091,Mecklenburg-Vorpommern
Altenhausen,39343,Sachsen-Anhalt
Altenhof,24340,Schleswig-Holstein
Altenhof,17209,Mecklenburg-Vorpommern
Altenholz,24161,Schleswig-Holstein
Altenkirchen,66903,Rheinland-Pfalz
Altenkirchen,18556,Mecklenburg-Vorpommern
Altenkirchen (Westerwald),57610,Rheinland-Pfalz
Altenkrempe,23730,Schleswig-Holstein
